Postnr.;Bynavn;Gade;Firma;Provins;Land
1439;Kõbenhavn K;A.H. Vedels Plads;;False;1
1439;Kõbenhavn K;Bradbënken;;False;1
1439;Kõbenhavn K;Elefanten;;False;1
1439;Kõbenhavn K;Eskadrevej;;False;1
1439;Kõbenhavn K;H.C. Sneedorffs AllÇ;;False;1
1439;Kõbenhavn K;Henrik Gerners Plads;;False;1
1439;Kõbenhavn K;Henrik Spans Vej;;False;1
1439;Kõbenhavn K;Kongebrovej;;False;1
1439;Kõbenhavn K;Krudtlõbsvej;;False;1
1439;Kõbenhavn K;Minõrvej;;False;1
1439;Kõbenhavn K;P. Lõvenõrns Vej;;False;1
1439;Kõbenhavn K;Spanteloftvej;;False;1
1439;Kõbenhavn K;Takkeladsvej;;False;1
1439;Kõbenhavn K;Ved Sixtusbatteriet;;False;1
1439;Kõbenhavn K;Ved Sõminegraven;;False;1
1440;Kõbenhavn K;Bjõrnekloen;;False;1
1440;Kõbenhavn K;BlÜ Karamel;;False;1
1440;Kõbenhavn K;FabriksomrÜdet;;False;1
1440;Kõbenhavn K;Fredens Ark;;False;1
1440;Kõbenhavn K;Lõvehuset;;False;1
1440;Kõbenhavn K;Mëlkebõtten;;False;1
1440;Kõbenhavn K;Mëlkevejen;;False;1
1440;Kõbenhavn K;NordomrÜdet;;False;1
1440;Kõbenhavn K;Psyak;;False;1
1440;Kõbenhavn K;SydomrÜdet;;False;1
1440;Kõbenhavn K;Tinghuset;;False;1
1441;Kõbenhavn K;Midtdyssen;;False;1
1441;Kõbenhavn K;Norddyssen;;False;1
1441;Kõbenhavn K;Syddyssen;;False;1
1448;Kõbenhavn K;Asiatisk Plads 2;Udenrigsministeriet;False;1
1450;Kõbenhavn K;Nytorv;;False;1
1451;Kõbenhavn K;Larslejsstrëde;;False;1
1452;Kõbenhavn K;TeglgÜrdstrëde;;False;1
1453;Kõbenhavn K;Sankt Peders Strëde;;False;1
1454;Kõbenhavn K;Larsbjõrnsstrëde;;False;1
1455;Kõbenhavn K;Studiestrëde 3-49 og 6-40;;False;1
1456;Kõbenhavn K;Vestergade;;False;1
1457;Kõbenhavn K;Gammeltorv;;False;1
1458;Kõbenhavn K;Kattesundet;;False;1
1459;Kõbenhavn K;Frederiksberggade;;False;1
1460;Kõbenhavn K;Mikkel Bryggers Gade;;False;1
1461;Kõbenhavn K;Slutterigade;;False;1
1462;Kõbenhavn K;Lavendelstrëde;;False;1
1463;Kõbenhavn K;Farvergade;;False;1
1464;Kõbenhavn K;Hestemõllestrëde;;False;1
1465;Kõbenhavn K;GÜsegade;;False;1
1466;Kõbenhavn K;RÜdhusstrëde;;False;1
1467;Kõbenhavn K;Vandkunsten;;False;1
1468;Kõbenhavn K;Lõngangstrëde;;False;1
1470;Kõbenhavn K;Stormgade 2-14;;False;1
1471;Kõbenhavn K;Ny Vestergade;;False;1
1472;Kõbenhavn K;Ny Kongensgade 1-15 og 4-14;;False;1
1473;Kõbenhavn K;Bryghusgade;;False;1
1500;Kõbenhavn V;Carsten Niebuhrs Gade 4;Vesterbro Postkontor;False;1
1501;Kõbenhavn V;Postboks;;False;1
1502;Kõbenhavn V;Postboks;;False;1
1503;Kõbenhavn V;Postboks;;False;1
1504;Kõbenhavn V;Postboks;;False;1
1505;Kõbenhavn V;Postboks;;False;1
1506;Kõbenhavn V;Postboks;;False;1
1507;Kõbenhavn V;Postboks;;False;1
1508;Kõbenhavn V;Postboks;;False;1
1509;Kõbenhavn V;Postboks;;False;1
1510;Kõbenhavn V;Postboks;;False;1
1512;Returpost;Carsten Niebuhrs Gade 4;(Internt);False;1
1513;Flytninger og Nejtak;;(Internt);False;1
1532;Kõbenhavn V;Kystvejen 26, 2770 Kastrup;Internationalt Postcenter, returforsendelser + consignment;False;1
